locality,strat_height_m,strat_fract,type,matrix_1,matrix_2,matrix_3,matrix_4,matrix_5,matrix_6,matrix_7,matrix_8,matrix_9,shape_1,shape_2,shape_3,shape_4,whole,frag
Malmøykalven,13,"0,186",fav,,,,,1,,,,,,,1,,1,
Malmøykalven,13,"0,186",fav,,,"0,5",,,,,"0,5",,,1,,,1,
Malmøykalven,13,"0,186",hal,,,1,,,,,,,,,1,,,1
Malmøykalven,13,"0,186",str,,,,,"0,5","0,5",,,,,1,,,1,
Malmøykalven,22,"0,314",fav,,,1,,,,,,,,,1,,1,
Malmøykalven,22,"0,314",str,,,,,"0,5","0,5",,,,1,,,,1,
Malmøykalven,22,"0,314",str,,,,,,,1,,,1,,,,1,
Malmøykalven,22,"0,314",str,,,,,1,,,,,1,,,,1,
Malmøykalven,22,"0,314",str,1,,,,,,,,,1,,,,1,
Malmøykalven,22,"0,314",fav,1,,,,,,,,,,1,,,1,
Malmøykalven,22,"0,314",hal,1,,,,,,,,,,,,,,1
Malmøykalven,22,"0,314",hal,,,1,,,,,,,,,,,,1
Malmøykalven,22,"0,314",fav,,"0,5","0,5",,,,,,,,,,,,1
Malmøykalven,22,"0,314",syr,,,,,"0,5",,,"0,5",,,1,,,1,
Malmøykalven,22,"0,314",fav,,,,,1,,,,,,1,,,1,
Malmøykalven,22,"0,314",fav,,,,,1,,,,,,1,,,1,
Malmøykalven,22,"0,314",str,1,,,,,,,,,1,,,,1,
Malmøykalven,22,"0,314",fav,"0,5",,"0,5",,,,,,,,1,,,,1
Malmøykalven,22,"0,314",hal,,,1,,,,,,,,,,,,1
Malmøykalven,22,"0,314",str,,,,,1,,,,,1,,,,1,
Malmøykalven,22,"0,314",fav,,,1,,,,,,,,1,,,,1
Malmøykalven,32,"0,457",syr,,,,,,1,,,,1,,,,1,
Malmøykalven,32,"0,457",fav,,,,,,1,,,,1,,,,1,
Malmøykalven,32,"0,457",fav,,,1,,,,,,,,1,,,,1
Malmøykalven,32,"0,457",hal,,,1,,,,,,,,,,,,1
Malmøykalven,32,"0,457",hal,"0,5","0,5",,,,,,,,,,,,,1
Malmøykalven,32,"0,457",hal,,,,,,1,,,,,"0,5","0,5",,1,
Malmøykalven,32,"0,457",str,,,,,,1,,,,,1,,,1,
Malmøykalven,32,"0,457",str,,,,"0,5",,,"0,5",,,1,,,,1,
Malmøykalven,32,"0,457",hal,,"0,5","0,5",,,,,,,,1,,,1,
Malmøykalven,32,"0,457",str,,"0,5","0,5",,,,,,,,1,,,1,
Malmøykalven,32,"0,457",str,,,1,,,,,,,,,,,,1
Malmøykalven,32,"0,457",fav,1,,,,,,,,,"0,5",,"0,5",,1,
Malmøykalven,32,"0,457",str,,,,,1,,,,,,1,,,1,
Malmøykalven,32,"0,457",str,1,,,,,,,,,,1,,,1,
Malmøykalven,32,"0,457",str,,,,,,,1,,,1,,,,1,
Malmøykalven,32,"0,457",str,,,,,,,"0,5","0,5",,,1,,,1,
Malmøykalven,32,"0,457",fav,,,,,,,"0,5","0,5",,"0,5",,"0,5",,1,
Malmøykalven,32,"0,457",str,,"0,5",,,,,,"0,5",,1,,,,1,
Malmøykalven,32,"0,457",fav,,,1,,,,,,,,1,,,,1
Malmøykalven,32,"0,457",hel,,,1,,,,,,,,1,,,,1
Malmøykalven,32,"0,457",str,,,,,1,,,,,,1,,,,1
Malmøykalven,32,"0,457",hal,1,,,,,,,,,1,,,,1,
Malmøykalven,32,"0,457",str,,,1,,,,,,,,1,,,,1
Malmøykalven,40,"0,571",hal,,,,1,,,,,,,,1,,1,
Malmøykalven,40,"0,571",str,,"0,5",,,,"0,5",,,,1,,,,1,
Malmøykalven,40,"0,571",hal,,,1,,,,,,,,,,,,1
Malmøykalven,40,"0,571",hal,,,,,,1,,,,,,,,,1
Malmøykalven,40,"0,571",hal,,,,,,1,,,,,,,,,1
Malmøykalven,40,"0,571",fav,,,,,1,,,,,,,,,,1
Malmøykalven,40,"0,571",hal,,,1,,,,,,,,,,,,1
Malmøykalven,40,"0,571",hal,,,1,,,,,,,,,,,,1
Malmøykalven,40,"0,571",syr,,,,,,1,,,,,,,,1,
Malmøykalven,40,"0,571",fav,,1,,,,,,,,,,,,,1
Malmøykalven,40,"0,571",hal,,1,,,,,,,,,,,,,1
Malmøykalven,40,"0,571",hal,,1,,,,,,,,,,,,,1
Malmøykalven,40,"0,571",hal,,"0,5","0,5",,,,,,,,,,,,1
Malmøykalven,40,"0,571",hal,,"0,5","0,5",,,,,,,,,,,,1
Malmøykalven,40,"0,571",hel,,,1,,,,,,,,,,,1,
Malmøykalven,40,"0,571",fav,,,1,,,,,,,,,,,,1
Malmøykalven,40,"0,571",fav,,,"0,5",,"0,5",,,,,,1,,,,1
Malmøykalven,40,"0,571",hal,,,,,1,,,,,,,1,,1,
Malmøykalven,40,"0,571",fav,,,,,1,,,,,,1,,,1,
Malmøykalven,40,"0,571",hal,,,,,1,,,,,1,,,,1,
Malmøykalven,40,"0,571",str,,,,,1,,,,,1,,,,1,
Malmøykalven,40,"0,571",hal,,,,1,,,,,,1,,,,1,
Malmøykalven,40,"0,571",hal,,,,"0,5","0,5",,,,,,1,,,1,
Malmøykalven,40,"0,571",hal,,,,,,1,,,,,,1,,1,
Malmøykalven,40,"0,571",hal,1,,,,,,,,,,1,,,1,
Malmøykalven,40,"0,571",str,1,,,,,,,,,"0,5",,,"0,5",1,
Malmøykalven,40,"0,571",str,,,,,"0,5","0,5",,,,"0,5",,,"0,5",1,
Malmøykalven,40,"0,571",str,,,,,1,,,,,1,,,,1,
Malmøykalven,40,"0,571",hal,,,1,,,,,,,,,1,,,1
Malmøykalven,40,"0,571",hal,,,1,,,,,,,,,1,,1,
Malmøykalven,40,"0,571",fav,"0,5",,"0,5",,,,,,,1,,,,1,
Malmøykalven,40,"0,571",fav,,1,,,,,,,,,,1,,,1
Malmøykalven,40,"0,571",hal,,,"0,5",,"0,5",,,,,,,1,,,1
Malmøykalven,40,"0,571",fav,,"0,5","0,5",,,,,,,,1,,,1,
Malmøykalven,40,"0,571",fav,1,,,,,,,,,,1,,,1,
Malmøykalven,40,"0,571",hal,,1,,,,,,,,1,,,,1,
Malmøykalven,40,"0,571",fav,"0,5",,"0,5",,,,,,,1,,,,,1
Malmøykalven,52,"0,743",hal,,1,,,,,,,,,,,,,1
Malmøykalven,52,"0,743",hal,1,,,,,,,,,,,,,,1
Malmøykalven,52,"0,743",hal,1,,,,,,,,,,,,,,1
Malmøykalven,52,"0,743",syr,,,1,,,,,,,,,,,,1
Malmøykalven,52,"0,743",hal,,,1,,,,,,,,,,,,1
Malmøykalven,52,"0,743",syr,"0,5","0,5",,,,,,,,1,,,,1,
Malmøykalven,52,"0,743",fav,,1,,,,,,,,1,,,,1,
Malmøykalven,52,"0,743",fav,,"0,5","0,5",,,,,,,,1,,,1,
Malmøykalven,52,"0,743",hal,,"0,5","0,5",,,,,,,,,,,,1
Malmøykalven,52,"0,743",fav,,1,,,,,,,,1,,,,1,
Malmøykalven,52,"0,743",hel,,"0,5","0,5",,,,,,,,,1,,1,
Malmøykalven,52,"0,743",hal,,,,,,,,,,,,,,,1
Malmøykalven,52,"0,743",hal,,1,,,,,,,,,,,,,1
Malmøykalven,52,"0,743",fav,,,,,,1,,,,,1,,,1,
Malmøykalven,52,"0,743",fav,,,1,,,,,,,,1,,,1,
Malmøykalven,52,"0,743",str,,,,1,,,,,1,,1,,,1,
Malmøykalven,52,"0,743",fav,,,1,,,,,,,,1,,,1,
Malmøykalven,52,"0,743",fav,,,1,,,,,,,1,,,,1,
Malmøykalven,52,"0,743",hal,,1,,,,,,,,,,1,,1,
Malmøykalven,52,"0,743",fav,,,1,,,,,,,,,1,,,1
Malmøykalven,52,"0,743",hal,,,1,,,,,,,,,,,,1
Malmøykalven,52,"0,743",hal,,,1,,,,,,,,,,,,1
Malmøykalven,52,"0,743",hel,,,1,,,,,,,,,1,,,1
Malmøykalven,52,"0,743",fav,,,"0,5",,,,,,"0,5",,,1,,,1
Malmøykalven,52,"0,743",hel,,,"0,5",,,,,,"0,5",,,1,,,1
Malmøykalven,52,"0,743",hal,,,"0,33",,,"0,33",,,"0,33",,,1,,1,
Malmøykalven,52,"0,743",hal,"0,5","0,5",,,,,,,,,,1,,1,
Malmøykalven,52,"0,743",hal,,,1,,,,,,,,,,,,1
Malmøykalven,52,"0,743",fav,,,1,,,,,,,,,,,,1
Malmøykalven,52,"0,743",str,,,1,,,,,,,,,,,,1
Malmøykalven,52,"0,743",hal,,,1,,,,,,,,,,,,1
Malmøykalven,52,"0,743",fav,,,,,,1,,,,,1,,,1,
Malmøykalven,52,"0,743",str,,,,,,1,,,,,,1,,1,
Malmøykalven,52,"0,743",hal,,,1,,,,,,,,,1,,1,
Malmøykalven,52,"0,743",str,,,,,,1,,,,,,1,,1,
Malmøykalven,52,"0,743",hal,,,,,"0,5","0,5",,,,,1,,,1,
Malmøykalven,52,"0,743",hal,,1,,,,,,,1,,,1,,1,
