locality,name,PMO,slab,height (m.a.b),orientation,Scanned,Analyzed,Corresponding thin section,comment
TOV_2,-0.2a,236.403a,236.403,"−0,2",cross-long,1,,,Gastropod dominated
TOV_2,-0.2b,236.402a,236.402,"−0,2",cross-short,1,,,Gastropod dominated.
TOV_2,"0,1m",236.412a,236.412,"0,1",cross-short,1,1,,
TOV_2,"0,1m",236.413a,236.413,"0,1",parallell,1,1,,
TOV_2,0.3a,236.404a,236.404,"0,3",unknown,1,1,,
TOV_2,0.3b,236.405a,236.405,"0,3",unknown,1,1,1,
TOV_2,1.0a,236.406a,236.406,"1,0",cross-long,1,1,,
TOV_2,1.0b,236.406b,236.406,"1,0",cross-long,1,1,1,
TOV_2,1.0c,236.407a,236.407,"1,0",parallell,1,1,,
TOV_2,2.0a,236.408a,236.408,"2,0",cross-short,1,1,,
TOV_2,2.0b,236.409a,236.409,"2,0",parallell,1,1,,
TOV_2,2.5a,236.410a,236.410,"2,5",parallell,1,1,,
TOV_2,2.5b,236.410b,236.410,"2,5",parallell,1,1,1,
TOV_2,2.5c,236.411a,236.411,"2,5",cross-long,1,1,,
TOV_2,2.5d,236.411b,236.411,"2,5",cross-long,1,,,
TOV_2,4.0a,236.414a,236.414,"4,0",cross-short,1,1,,
TOV_2,4.0b,236.415a,236.415,"4,0",parallell,1,,,
TOV_2,5.1a,236.416a,236.416,"5,1",unknown,1,1,,
TOV_2,5.1b,236.417a,236.417,"5,1",unknown,1,1,1,
TOV_2,5.9a,236.418a,236.418,"5,9",cross-long,1,1,,
TOV_2,5.9b,236.418b,236.418,"5,9",cross-long,,,,Same area as A
TOV_2,5.9c,236.419a,236.419,"5,9",parallell,1,1,,
TOV_2,5.9d,236.419b,236.419,"5,9",parallell,1,,,
TOV_2,5.9e,236.425a,236.425,"5,9",unknown,1,,,
TOV_2,5.9f,236.424a,236.424,"5,9",unknown,,,,
TOV_2,7.0a,236.420a,236.420,"7,0",parallell,1,,,
TOV_2,7.0b,236.421a,236.421,"7,0",cross-short,1,1,1,
TOV_2,9.0a,236.423a,236.423,"9,0",parallell,1,1,,
TOV_2,9.0b,236.422a,236.422,"9,0",cross-long,1,1,,
TOV_2,9.0c,236.422b,236.422,"9,0",cross-long,1,,1,
TOV_2,9.9a,236.426a,236.426,"9,9",cross-short,1,,,
TOV_2,9.9b.,236.427a,236.427,"9,9",parallell,1,,,
TOV_2,9.9c,236.427b,236.427,"9,9",parallell,1,1,1,
TOV_2,9.9d,236.428a,236.428,"9,9",parallell,1,,,
TOV_2,10.0a,236.429a,236.429,"10,0",cross-long,1,1,,
TOV_2,10.0b,236.429b,236.429,"10,0",cross-long,1,,,
TOV_2,10.0c,236.430a,236.430,"10,0",parallell,1,,,
TOV_2,10.0d,236.430b,236.430,"10,0",parallell,1,1,1,
TOV_2,10.5a,236.431a,236.431,"10,5",unknown,1,,,Missing slab
TOV_2,11.5a,236.432a,236.432,"11,5",cross-short,1,1,,
TOV_2,11.5b,236.433a,236.433,"11,5",cross-short,1,,,
TOV_2,11.5b2,236.433b,236.433,"11,5",cross-short,1,1,,
TOV_2,11.5c,236.434a,236.434,"11,5",cross-long,1,,,
TOV_2,12.5a,236.435a,236.435,"12,5",cross-short,1,,,
TOV_2,12.5b,236.436a,236.436,"12,5",parallell,1,,,
TOV_2,12.8a,236.438a,236.438,"12,8",cross-short,1,1,,
TOV_2,12.8b,236.437a,236.437,"12,8",parallell,1,,,
TOV_2,13.0a,236.440a,236.440,"13,0",parallell,1,,,
TOV_2,13.0b,236.440b,236.440,"13,0",parallell,1,1,,
TOV_2,13.0c,236.439a,236.439,"13,0",cross-long,1,,1,
TOV_2,13.0d,236.439b,236.439,"13,0",cross-long,1,,,
TOV_2,13.5a,???,???,"13,5",unknown,1,,,
TOV_2,13.8a,236.442a,236.442,"13,8",cross-short,1,1,,
TOV_2,13.8b,236.441a,236.441,"13,8",cross-long,1,,,
TOV_2,14.5a,236.444b,236.444,"14,5",unknown,1,,,
TOV_2,14.5a2,236.445a,236.445,"14,5",unknown,1,,,
TOV_2,14.5b,236.444a,236.444,"14,5",unknown,1,,,
TOV_2,14.5b2,???,???,"14,5",unknown,1,,,
TOV_2,14.5c,236.443a,236.443,"14,5",cross-short,1,1,,
TOV_2,14.5c2,236.446a,236.446,"14,5",unknown,1,,,
TOV_2,14.5d,236.446b,236.446,"14,5",unknown,1,,,
TOV_2,14.5f,236.463a,236.463,"14,5",unknown,1,,,
TOV_2,15.0a,236.447a,236.447,"15,0",cross-short,1,,,
